Estación;Año;Caudal m3/s;;;;
1363;1970-1971;6,83;;;;
1363;1975-1976;6,10;;;;
1363;1980-1981;4,77;;;;
1363;1981-1982;3,02;;;;
1363;1982-1983;6,63;;;;
1363;1983-1984;5,13;;;;
1363;1984-1985;6,23;;;;
1363;1985-1986;4,19;;;;
1363;1986-1987;3,89;;;;
1363;1987-1988;7,75;;;;
1363;1988-1989;3,54;;;;
1363;1989-1990;4,20;;;;
1363;1990-1991;7,82;;;;
1363;1991-1992;5,14;;;;
1363;1992-1993;7,10;;;;
1363;1993-1994;4,91;;;;
1363;1994-1995;3,99;;;;
1363;1995-1996;6,51;;;;
1363;1996-1997;5,35;;;;
1363;1997-1998;5,11;;;;
1363;1998-1999;4,56;;;;
1363;1999-2000;5,45;;;;
1363;2000-2001;6,59;;;;
1363;2001-2002;4,14;;;;
1363;2002-2003;-;;;;
1363;2011-2012;-;;;;
1363;2012-2013;7,64;;;;
1363;2013-2014;7,04;;;;
1363;2014-2015;-;;;;
1363;2015-2016;6,10;;;;
1363;2016-2017;-;;;;
1363;2017-2018;9,10;;;;
1363;2018-2019;3,86;;;;
1363;2019-2020;6,63;;;;
1363;2020-2021;-;;;;
