Estación;Año;Día;Oct;Nov;Dic;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep
1363;1970-1971;1;0,14;0,80;7,24;0,99;9,14;4,65;16,25;21,40;13,10;2,76;2,80;0,81
1363;1970-1971;2;0,04;0,80;4,94;0,99;8,38;4,36;19,16;18,60;12,30;2,54;2,71;0,66
1363;1970-1971;3;0,04;0,71;3,20;0,80;7,62;4,36;18,60;16,25;11,10;2,98;2,61;0,66
1363;1970-1971;4;0,04;0,71;3,20;0,71;6,86;3,20;18,13;13,90;10,30;3,78;2,52;0,66
1363;1970-1971;5;0,04;0,71;3,20;0,99;6,10;2,98;18,60;15,31;9,14;3,20;2,42;0,62
1363;1970-1971;6;0,04;0,71;2,76;3,20;6,10;2,76;19,72;15,31;8,00;2,76;2,42;0,62
1363;1970-1971;7;0,04;0,80;2,76;3,20;6,10;2,54;23,08;13,90;7,24;2,32;2,33;0,59
1363;1970-1971;8;0,04;0,99;3,78;4,65;6,10;2,54;22,52;13,10;12,30;1,65;2,23;0,59
1363;1970-1971;9;0,04;0,90;5,23;5,81;6,10;2,54;22,52;12,30;13,10;1,43;2,23;0,55
1363;1970-1971;10;0,42;0,61;5,52;6,10;5,52;2,32;18,60;12,30;12,70;1,43;2,23;0,55
1363;1970-1971;11;0,23;0,52;28,22;6,10;4,94;2,32;17,66;11,90;11,90;1,21;2,23;0,55
1363;1970-1971;12;0,14;0,52;13,10;6,10;4,36;2,32;17,66;13,90;11,10;1,21;2,23;0,55
1363;1970-1971;13;0,04;1,43;11,90;6,48;4,07;2,32;17,66;14,84;9,52;1,65;2,04;0,55
1363;1970-1971;14;0,04;2,76;9,90;4,94;4,36;2,32;17,66;13,50;9,14;3,20;1,85;0,55
1363;1970-1971;15;0,04;4,65;8,00;4,36;4,94;2,32;16,72;13,90;8,00;4,65;1,85;0,55
1363;1970-1971;16;0,04;9,90;6,10;3,20;7,62;2,10;15,78;13,10;6,86;7,62;1,79;0,55
1363;1970-1971;17;0,04;8,00;4,65;3,20;10,30;2,10;13,90;17,66;6,10;11,10;1,67;0,55
1363;1970-1971;18;0,04;5,52;3,78;3,20;13,90;2,98;13,10;35,28;5,81;6,71;1,67;0,55
1363;1970-1971;19;0,04;5,81;3,20;6,10;10,30;2,98;13,90;30,23;5,52;5,69;1,43;0,55
1363;1970-1971;20;0,33;5,52;3,20;7,24;10,30;2,98;17,19;28,89;4,94;5,25;1,31;0,62
1363;1970-1971;21;0,99;4,65;2,98;8,00;9,14;4,36;23,64;28,22;4,65;4,59;1,25;0,70
1363;1970-1971;22;2,10;3,20;2,98;8,00;9,14;12,70;23,08;28,22;4,07;4,15;1,14;0,70
1363;1970-1971;23;0,99;3,20;2,76;13,50;8,00;11,90;25,54;28,89;3,78;3,88;1,14;0,81
